episode,step,picker_id,x,y,z,grip_raw,grip_closed,source
0,0,0,-0.2539348006248474,0.06652549654245377,0.07803577929735184,0.3898178544986674,1,action_tool._get_pos()
0,1,0,-0.2425493597984314,0.05000000074505806,0.0727539137005806,0.1946042873755134,1,action_tool._get_pos()
0,2,0,-0.1655924916267395,0.11332570761442184,0.041734904050827026,0.5740677407752165,1,action_tool._get_pos()
0,3,0,-0.08669418096542358,0.16091082990169525,0.01035730168223381,0.7422084577497269,1,action_tool._get_pos()
0,4,0,-0.007750906050205231,0.1683051437139511,-0.03664664179086685,0.5073509044811765,1,action_tool._get_pos()
0,5,0,0.07167196273803711,0.24708615243434906,-0.10293964296579361,0.4833868217235485,1,action_tool._get_pos()
0,6,0,0.15149693191051483,0.2115301936864853,-0.062203142791986465,0.8473023995496183,1,action_tool._get_pos()
0,7,0,0.11193766444921494,0.19938884675502777,-0.07590315490961075,-0.6266231936332888,0,action_tool._get_pos()
0,8,0,0.12315484136343002,0.1252513974905014,-0.041874129325151443,-0.11393798832786031,0,action_tool._get_pos()
0,9,0,0.17329318821430206,0.07941518723964691,0.029601525515317917,0.5779282034744132,1,action_tool._get_pos()
0,10,0,0.25266188383102417,0.1551433950662613,0.10759683698415756,0.8975632597482895,1,action_tool._get_pos()
0,11,0,0.298583447933197,0.075386181473732,0.08907457441091537,0.7168667786142665,1,action_tool._get_pos()
0,12,0,0.34751006960868835,0.07777424156665802,0.04900195449590683,-0.5653196973301752,0,action_tool._get_pos()
0,13,0,0.34751006960868835,0.14295633137226105,0.11477436870336533,-0.3601129253223893,0,action_tool._get_pos()
0,14,0,0.2722580134868622,0.17203886806964874,0.17902697622776031,-0.6376443706410508,0,action_tool._get_pos()
0,15,0,0.2073192298412323,0.0962127298116684,0.1331339031457901,0.2820943031094372,1,action_tool._get_pos()
0,16,0,0.13042160868644714,0.05000000074505806,0.16394509375095367,0.5333700683413877,1,action_tool._get_pos()
0,17,0,0.2093718945980072,0.10489802807569504,0.15019239485263824,-0.8523457078607481,0,action_tool._get_pos()
0,18,0,0.1531430184841156,0.05000000074505806,0.13323082029819489,0.2857572405637064,1,action_tool._get_pos()
0,19,0,0.22153255343437195,0.09865772724151611,0.2067035585641861,-0.563129828280743,0,action_tool._get_pos()
0,20,0,0.23606523871421814,0.15115436911582947,0.15215064585208893,0.3019154160765017,1,action_tool._get_pos()
0,21,0,0.21544012427330017,0.15814825892448425,0.0875539556145668,-0.41626704014344523,0,action_tool._get_pos()
0,22,0,0.23514673113822937,0.13535508513450623,0.03265136107802391,-0.08198448380838884,0,action_tool._get_pos()
0,23,0,0.17194423079490662,0.14452919363975525,-0.03363308310508728,0.37996386720729414,1,action_tool._get_pos()
0,24,0,0.17862650752067566,0.0732058435678482,-0.09795372188091278,0.20113244848905534,1,action_tool._get_pos()
0,25,0,0.11026927828788757,0.06632502377033234,-0.1615559309720993,0.8372296218662761,1,action_tool._get_pos()
0,26,0,0.14512187242507935,0.10933895409107208,-0.17440299689769745,0.6014302083030525,1,action_tool._get_pos()
0,27,0,0.20218104124069214,0.11887450516223907,-0.21338312327861786,0.5606557930751469,1,action_tool._get_pos()
0,28,0,0.24822372198104858,0.054357655346393585,-0.13361124694347382,-0.4784018969601885,0,action_tool._get_pos()
0,29,0,0.32822364568710327,0.13356274366378784,-0.0699465200304985,-0.49900086924734877,0,action_tool._get_pos()
0,30,0,0.3247827887535095,0.16224652528762817,-0.0901220366358757,0.2533783164297591,1,action_tool._get_pos()
0,31,0,0.3471929430961609,0.17356091737747192,-0.05864148586988449,-0.39336974639607325,0,action_tool._get_pos()
0,32,0,0.34751006960868835,0.2266642451286316,-0.06814336031675339,0.13929870643422243,1,action_tool._get_pos()
0,33,0,0.31209132075309753,0.21486562490463257,-0.027363769710063934,-0.2654069999035865,0,action_tool._get_pos()
0,34,0,0.2772781550884247,0.2560759484767914,-0.007577679585665464,-0.5509173849056118,0,action_tool._get_pos()
0,35,0,0.23488637804985046,0.2067854106426239,-0.008605062030255795,0.293468236831287,1,action_tool._get_pos()
0,36,0,0.24202677607536316,0.2669167220592499,0.0447385273873806,0.08197612873207519,1,action_tool._get_pos()
0,37,0,0.21201559901237488,0.20474392175674438,0.09374129772186279,0.15778295280320473,1,action_tool._get_pos()
0,38,0,0.1882173717021942,0.13349837064743042,0.15599095821380615,-0.42166522697047215,0,action_tool._get_pos()
0,39,0,0.1817323863506317,0.0588570237159729,0.20886456966400146,0.14210916785922723,1,action_tool._get_pos()
0,40,0,0.221853107213974,0.05000000074505806,0.26438844203948975,-0.38458204193892714,0,action_tool._get_pos()
0,41,0,0.19395217299461365,0.05000000074505806,0.2208791971206665,0.13901691856359813,1,action_tool._get_pos()
0,42,0,0.2592040002346039,0.09751234203577042,0.29354941844940186,-0.3304113767332602,0,action_tool._get_pos()
0,43,0,0.19978995621204376,0.05000000074505806,0.2554529905319214,-0.21509399534651272,0,action_tool._get_pos()
0,44,0,0.27537015080451965,0.11845468729734421,0.30869758129119873,-0.5505029953411231,0,action_tool._get_pos()
0,45,0,0.34751006960868835,0.05000000074505806,0.23359215259552002,-0.32838973604694893,0,action_tool._get_pos()
0,46,0,0.29977867007255554,0.06906107068061829,0.3121911287307739,-0.684044950043314,0,action_tool._get_pos()
0,47,0,0.3439945876598358,0.0836014449596405,0.32072699069976807,-0.8536912944664348,0,action_tool._get_pos()
0,48,0,0.3403336703777313,0.07977178692817688,0.28898680210113525,-0.5937654377634985,0,action_tool._get_pos()
